Designator,Mid X,Mid Y,Rotation,Layer
D1,60.1495,-64.549,90.0,bottom
D10,115.6495,-77.699,90.0,bottom
D11,134.1495,-75.6,90.0,bottom
D12,152.6495,-77.749,90.0,bottom
D13,60.1495,-99.199,90.0,bottom
D14,78.6495,-100.899,90.0,bottom
D15,97.1495,-97.399,90.0,bottom
D16,115.6495,-95.049,90.0,bottom
D17,134.1495,-93.1,90.0,bottom
D18,152.6495,-96.249,90.0,bottom
D19,129.649501,-113.699,90.0,bottom
D2,78.6495,-65.899,90.0,bottom
D20,149.6495,-119.049,105.0,bottom
D21,168.6495,-130.299,135.0,bottom
D22,222.945008,-60.72,90.0,bottom
D23,241.195009,-60.52,90.0,bottom
D24,259.695009,-61.37,90.0,bottom
D25,278.445009,-64.22,90.0,bottom
D26,296.695009,-64.97,90.0,bottom
D27,315.195009,-65.87,90.0,bottom
D28,222.945009,-78.52,90.0,bottom
D29,241.445009,-76.72,90.0,bottom
D3,97.1495,-62.399,90.0,bottom
D30,259.945009,-77.72,90.0,bottom
D31,278.445009,-79.47,90.0,bottom
D32,297.195009,-81.47,90.0,bottom
D33,315.195009,-82.37,90.0,bottom
D34,222.695009,-96.12,90.0,bottom
D35,241.195009,-94.72,90.0,bottom
D36,259.695009,-95.97,90.0,bottom
D37,278.445009,-97.97,90.0,bottom
D38,296.945009,-99.22,90.0,bottom
D39,315.445009,-99.47,90.0,bottom
D4,115.6495,-60.549,90.0,bottom
D40,203.195009,-117.62,45.0,bottom
D41,225.195009,-112.12,75.0,bottom
D42,245.945009,-113.87,90.0,bottom
D5,134.1495,-58.1,90.0,bottom
D6,152.6495,-60.749,90.0,bottom
D7,60.1495,-81.399,90.0,bottom
D8,78.6495,-82.899,90.0,bottom
D9,97.1495,-79.399,90.0,bottom
S1,51.1495,-62.9,0.0,top
S10,106.6495,-76.549,0.0,top
S11,125.1495,-74.451,0.0,top
S12,143.6495,-76.649,0.0,top
S13,51.1495,-97.9,0.0,top
S14,69.6495,-97.9,0.0,top
S15,88.1495,-95.9,0.0,top
S16,106.6495,-93.849,0.0,top
S17,125.1495,-91.9,0.0,top
S18,143.6495,-94.049,0.0,top
S19,120.1495,-112.4,0.0,top
S2,69.6495,-62.9,0.0,top
S20,141.1495,-114.049,345.0,top
S21,162.482775,-122.465726,315.0,top
S22,213.695009,-59.04,0.0,top
S23,232.195009,-57.04,0.0,top
S24,250.695009,-59.04,0.0,top
S25,269.195009,-61.04,0.0,top
S26,287.695009,-63.04,0.0,top
S27,306.195009,-63.04,0.0,top
S28,213.695009,-76.391,0.0,top
S29,232.195009,-74.391,0.0,top
S3,88.1495,-61.049,0.0,top
S30,250.695009,-76.391,0.0,top
S31,269.195009,-78.391,0.0,top
S32,287.695009,-80.391,0.0,top
S33,306.195009,-80.391,0.0,top
S34,213.695009,-93.891,0.0,top
S35,232.195009,-91.89,0.0,top
S36,250.695009,-93.891,0.0,top
S37,269.195009,-96.04,0.0,top
S38,287.695009,-97.891,0.0,top
S39,306.195009,-97.891,0.0,top
S4,106.6495,-59.049,0.0,top
S40,195.195009,-123.04,45.0,top
S41,216.195009,-113.54,15.0,top
S42,236.695009,-112.34,0.0,top
S5,125.1495,-56.9,0.0,top
S6,143.6495,-59.049,0.0,top
S7,51.1495,-80.4,0.0,top
S8,69.6495,-80.4,0.0,top
S9,88.1495,-78.549,0.0,top
SW1,182.83,-101.51,90.0,bottom
SW2,174.44,-101.49,270.0,bottom
U1,165.649496,-67.384526,0.0,top
U2,191.695005,-67.359995,0.0,top
U3,171.049499,-89.074001,270.0,bottom
U4,185.780001,-89.095001,90.0,bottom
